At 13:31, CalWatch crashed, but it looks like lots of other stuff was being killed off / failing at the same time. Hmm.

    --------- beginning of /dev/log/system
12-25 11:25:48.332      816-816/? D/MobileDataStateTracker﹕ mms: setDetailed state, old =IDLE and new state=CONNECTING
12-25 11:25:48.332      816-816/? D/MobileDataStateTracker﹕ fota: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=fota
12-25 11:25:48.332      816-816/? D/MobileDataStateTracker﹕ fota: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.342      816-816/? D/MobileDataStateTracker﹕ dun: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=dun
12-25 11:25:48.342      816-816/? D/MobileDataStateTracker﹕ dun: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.342      816-816/? D/MobileDataStateTracker﹕ ia: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=ia
12-25 11:25:48.342      816-816/? D/MobileDataStateTracker﹕ ia: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.352      816-816/? D/MobileDataStateTracker﹕ supl: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=supl
12-25 11:25:48.352      816-816/? D/MobileDataStateTracker﹕ supl: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.352      816-816/? D/MobileDataStateTracker﹕ hipri: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=hipri
12-25 11:25:48.352      816-816/? D/MobileDataStateTracker﹕ hipri: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.362      816-816/? D/MobileDataStateTracker﹕ ims: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=ims
12-25 11:25:48.372      816-816/? D/MobileDataStateTracker﹕ ims: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.372      816-816/? D/MobileDataStateTracker﹕ default: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=default
12-25 11:25:48.372      816-816/? D/MobileDataStateTracker﹕ default: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:48.372      816-816/? D/MobileDataStateTracker﹕ cbs: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=cbs
12-25 11:25:48.382      816-816/? D/MobileDataStateTracker﹕ cbs: Received state=DISCONNECTED, old=DISCONNECTED, reason=dataEnabled
12-25 11:25:50.612      816-816/? D/MobileDataStateTracker﹕ mms: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=mms
12-25 11:25:50.612      816-816/? D/MobileDataStateTracker﹕ mms: Received state=CONNECTED, old=CONNECTING, reason=connected
12-25 11:25:50.612      816-816/? D/MobileDataStateTracker﹕ mms: setDetailed state, old =CONNECTING and new state=CONNECTED
