    --------- beginning of system
10-20 15:47:51.897    1750-9729/? I/PowerManagerService﹕ Waking up from sleep...
10-20 15:47:51.897    1750-1774/? W/KeyguardServiceDelegate﹕ onScreenTurnedOn(): no keyguard service!
10-20 15:47:52.128    1750-1776/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 90.31111 x 136.40741 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state ON, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-20 15:47:52.128    1750-1750/? V/ActivityManager﹕ Display changed displayId=0
10-20 15:47:52.178    1750-1750/? W/InputMethodManagerService﹕ Ignoring setImeWindowStatus of uid 1000 token: null
10-20 15:47:52.258    1750-9729/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-20 15:47:52.258    1750-9729/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-20 15:47:52.278    1750-1881/? D/SensorHAL﹕ adjustSensorHandle: handle = 9 adjustedHandle = 1
10-20 15:47:57.112    1750-9730/? I/PowerManagerService﹕ Going to sleep due to screen timeout...
10-20 15:47:57.112    1750-1780/? I/PowerManagerService﹕ Dozing...
10-20 15:47:57.122    1750-1773/? I/DreamController﹕ Starting dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-20 15:47:57.253    1750-1800/? I/ActivityManager﹕ START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity (has extras)} from pid 1866 on display 0
10-20 15:47:57.253    1750-1773/? I/DreamController﹕ Stopping dream: name=ComponentInfo{com.google.android.wearable.app/com.google.android.clockwork.home.AmbientMode}, isTest=false, canDoze=true, userId=0
10-20 15:47:57.263    1750-1780/? I/PowerManagerService﹕ Sleeping...
10-20 15:47:57.963    1750-1776/? I/DisplayManagerService﹕ Display device changed: DisplayDeviceInfo{"Built-in Screen": 320 x 290, 45.000004 fps, density 213, 90.31111 x 136.40741 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state OFF, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
10-20 15:47:57.963    1750-1750/? V/ActivityManager﹕ Display changed displayId=0
